"theMonth","theWeek","theDay","theYear","total","ShutoutCount","ERACount","HistoryCount","AceStatusCount","MVPCount"
10,41,16,2014,20,0,0,0,0,0
10,41,17,2014,100,0,0,0,0,34
10,41,18,2014,47,0,0,0,0,11
10,42,19,2014,19,0,0,0,0,1
10,42,20,2014,38,0,2,0,0,1
10,42,21,2014,791,0,12,0,0,7
10,42,22,2014,6139,35,171,161,0,20
10,42,23,2014,93,1,2,1,0,0
10,42,24,2014,19,0,1,0,0,0
10,42,25,2014,128,0,0,0,0,0
10,43,26,2014,770,1,211,0,0,1
10,43,27,2014,15472,7300,1405,1470,532,425
10,43,28,2014,252,44,24,5,0,8
10,43,29,2014,965,11,31,7,0,36
10,43,30,2014,22755,757,2785,1834,739,6782
10,43,31,2014,1113,14,9,8,3,114
11,43,1,2014,594,8,3,3,1,46
11,44,2,2014,188,5,6,1,1,14
11,44,3,2014,198,28,3,2,0,134
11,44,4,2014,171,1,2,2,1,143
11,44,5,2014,135,0,1,1,0,107
11,44,6,2014,17,0,0,1,0,7
11,44,7,2014,153,0,0,1,0,0
11,44,8,2014,50,0,0,0,0,0
11,45,9,2014,5,0,0,0,0,0
11,45,10,2014,5,0,0,0,0,2
11,45,11,2014,8,0,1,1,0,2
11,45,12,2014,11,0,1,0,0,1
11,45,13,2014,9,0,0,0,0,2
11,45,14,2014,13,0,2,1,0,7
11,45,15,2014,4,0,0,0,0,1
11,46,16,2014,9,0,2,2,0,2
11,46,17,2014,4,0,1,0,0,0
11,46,18,2014,5,1,1,0,0,0
11,46,19,2014,5,0,0,0,0,1
11,46,20,2014,3,0,0,0,0,0
11,46,21,2014,1,0,0,0,0,0
11,46,22,2014,6,0,0,0,0,1
11,47,23,2014,4,0,0,0,0,0
11,47,25,2014,2,0,0,0,0,1
11,47,26,2014,4,0,0,0,0,0
11,47,27,2014,4,0,0,0,0,0
11,47,28,2014,6,0,0,0,0,1
11,47,29,2014,6,2,0,0,0,1
11,48,30,2014,1,1,0,0,0,0
12,48,1,2014,5,1,1,0,0,0
12,48,3,2014,1,0,0,0,0,1
12,48,5,2014,2,0,0,0,0,0
12,48,6,2014,1,0,0,0,0,0
12,49,7,2014,6,0,0,0,0,6
12,49,8,2014,47,0,0,0,0,1
12,49,9,2014,5,0,0,0,0,1
12,49,10,2014,1,0,0,0,0,0
12,49,13,2014,4,0,0,0,0,1
12,50,14,2014,1,0,0,0,0,1
12,50,15,2014,4,0,0,0,0,0
12,50,16,2014,2,0,0,0,0,0
12,50,19,2014,4,0,0,0,0,0
12,50,20,2014,1,0,0,0,0,0
12,51,22,2014,3,2,0,2,0,0
12,51,23,2014,1,0,0,0,0,0
12,51,24,2014,3,0,0,0,0,2
12,51,25,2014,2,0,0,0,0,1
12,51,26,2014,1,0,0,0,0,0
12,51,27,2014,1,0,0,0,0,0
12,52,29,2014,1,0,0,0,0,1
12,52,30,2014,2,0,0,0,0,0
12,52,31,2014,4,2,0,0,0,0
1,0,1,2015,1,0,0,0,0,1
1,0,2,2015,2,0,0,0,0,1
1,0,3,2015,3,0,0,0,0,0
1,1,4,2015,2,0,0,0,0,0
1,1,5,2015,2,0,1,0,0,0
1,1,6,2015,2,0,0,0,0,0
1,1,7,2015,1,0,0,0,0,1
1,1,8,2015,2,0,0,0,0,1
1,1,9,2015,1,0,0,0,0,0
1,2,12,2015,1,0,0,0,0,1
1,2,13,2015,1,0,0,0,0,0
1,2,14,2015,1,0,0,0,0,1
1,2,17,2015,1,0,0,0,0,0
1,3,18,2015,1,0,0,0,0,0
1,3,22,2015,1,0,0,0,0,0
1,3,24,2015,1,0,0,0,0,0
1,4,26,2015,2,0,0,0,0,0
1,4,30,2015,1,0,0,0,0,0
1,4,31,2015,1,0,0,0,0,0
2,5,7,2015,5,0,0,0,0,0
2,6,9,2015,2,0,1,0,0,0
2,6,10,2015,1,1,0,0,0,0
2,6,12,2015,1,0,0,0,0,0
2,6,13,2015,1,0,0,0,0,0
2,6,14,2015,1,0,0,0,0,0
2,7,15,2015,4,0,0,0,0,1
2,7,16,2015,1,0,0,0,0,1
2,7,17,2015,1,0,0,0,0,0
2,7,20,2015,1,0,0,0,0,0
2,8,24,2015,5,0,0,0,0,0
2,8,25,2015,1,0,0,0,0,0
2,8,27,2015,1,0,0,0,0,0
2,8,28,2015,1,0,0,0,0,0
3,9,1,2015,2,0,0,0,0,0
3,9,2,2015,1,0,0,0,0,0
3,9,3,2015,2,0,0,0,0,0
3,9,6,2015,1,0,0,0,0,0
3,10,8,2015,2,0,0,0,0,0
3,10,13,2015,3,0,0,0,0,0
3,11,17,2015,10,0,3,3,0,2
3,11,21,2015,4,0,0,0,0,0
3,12,23,2015,1,0,0,0,0,0
4,14,7,2015,3,0,0,0,0,0
4,14,8,2015,1,0,1,0,0,0
4,14,10,2015,1,0,0,0,0,1
4,14,11,2015,9,0,0,0,0,0
4,15,12,2015,3,0,0,0,0,0
4,15,13,2015,5,0,1,0,0,0
4,15,14,2015,6,0,0,0,0,0
4,15,15,2015,1,0,0,0,0,0
4,15,16,2015,1,0,0,0,0,0
4,15,17,2015,1,0,0,0,0,1
4,16,21,2015,1,0,0,0,0,0
4,16,22,2015,2,0,0,0,0,1
4,16,23,2015,1,0,0,0,0,0
4,16,24,2015,1,0,0,0,0,0
4,17,28,2015,1,0,0,0,0,0
4,17,29,2015,2,0,0,0,0,0
5,18,3,2015,1,0,0,0,0,0
5,18,5,2015,1,0,0,0,0,0
5,18,8,2015,1,0,0,0,0,0
5,18,9,2015,1,0,0,0,0,0
5,19,15,2015,1,0,0,0,0,0
5,19,16,2015,1,0,0,0,0,0
5,20,21,2015,1,0,0,0,0,1
5,20,22,2015,1,0,0,0,0,0
5,21,24,2015,1,0,0,0,0,1
5,21,25,2015,1,0,0,0,0,0
5,21,27,2015,4,0,0,0,0,0
5,22,31,2015,1,0,0,0,0,0
6,22,6,2015,1,0,0,0,0,0
6,23,7,2015,2,0,0,0,0,0
6,23,8,2015,1,0,0,0,0,0
6,23,10,2015,1,0,0,0,0,0
6,23,12,2015,1,0,0,0,0,0
6,23,13,2015,1,0,0,0,0,0
6,24,17,2015,1,0,0,0,0,0
6,24,18,2015,2,0,0,0,0,0
6,24,19,2015,2,0,0,0,0,2
6,25,21,2015,1,0,0,0,0,0
6,25,22,2015,1,0,0,0,0,0
6,25,24,2015,1,0,0,0,0,0
6,26,28,2015,2,0,0,0,0,0
7,26,2,2015,3,0,0,0,0,0
7,26,4,2015,1,0,0,0,0,0
7,27,7,2015,1,0,0,0,0,1
7,27,8,2015,1,0,0,0,0,0
7,27,10,2015,1,0,0,0,0,1
7,28,14,2015,370,0,1,1,0,1
7,28,15,2015,451,0,0,0,0,0
7,28,16,2015,1391,0,0,2,0,0
7,28,17,2015,242,0,0,0,0,0
7,28,18,2015,6,0,0,0,0,0
7,29,19,2015,2,0,0,0,0,0
7,29,20,2015,4,0,0,0,0,0
7,29,21,2015,4,0,0,0,0,0
7,29,22,2015,1,0,0,0,0,0
7,29,23,2015,3,0,0,0,0,0
7,29,25,2015,2,0,0,0,0,0
7,30,26,2015,3,0,0,0,0,0
7,30,30,2015,1,0,0,0,0,0
8,30,1,2015,1,0,0,0,0,0
8,31,5,2015,1,0,0,0,0,0
8,31,6,2015,2,0,0,0,0,0
8,32,10,2015,1,0,0,0,0,0
8,32,12,2015,1,0,0,0,0,0
8,33,16,2015,2,0,0,0,0,0
8,33,19,2015,3,0,0,0,0,0
8,33,20,2015,1,0,0,0,0,0
8,33,21,2015,2,1,0,0,0,0
8,34,23,2015,1,0,0,0,0,0
9,35,1,2015,1,0,0,0,0,0
9,35,2,2015,2,0,0,0,0,1
9,36,10,2015,1,0,0,0,0,0
9,37,13,2015,1,0,0,0,0,0
9,38,24,2015,1,0,0,0,0,0
9,39,30,2015,2,0,0,0,0,0
10,39,3,2015,3,0,0,0,0,0
10,40,5,2015,49,0,0,0,0,0
10,40,6,2015,2,0,0,0,0,0
10,40,8,2015,1,0,0,0,0,0
10,41,17,2015,1,0,0,0,0,0
10,42,21,2015,3,0,0,0,0,2
10,42,22,2015,3,0,0,0,0,1
10,42,23,2015,1,0,0,0,0,0
10,42,24,2015,17,0,0,0,0,0
10,43,26,2015,13,11,0,0,0,0
10,43,27,2015,47,4,0,0,0,0
10,43,28,2015,67,0,0,0,0,0
10,43,29,2015,210,0,6,0,0,0
10,43,30,2015,17,0,2,0,0,0
10,43,31,2015,38,0,0,0,0,0
11,44,1,2015,19,0,0,0,0,0
11,44,2,2015,283,2,2,1,0,22
11,44,3,2015,11,0,0,0,0,0
11,44,4,2015,3,0,0,0,0,0
11,44,5,2015,1,0,0,0,0,0
11,44,7,2015,2,0,0,0,0,0
11,45,9,2015,1,0,0,0,0,0
11,47,25,2015,1,0,0,0,0,0
12,48,2,2015,1,0,0,0,0,0
12,50,14,2015,1,0,0,0,0,0
4,14,4,2016,1,0,0,0,0,0
